Bulan,Trimester,Kategori_Risiko,Hari_Ke,No_Tugas,Tugas_Harian,Kategori_Aktivitas
1,Trimester 1,Risiko Rendah,1,1,Minum 250 ml air putih hangat saat bangun pagi dan siapkan sarapan kaya folat (omelet telur matang & bayam).,Nutrisi & Hidrasi
1,Trimester 1,Risiko Rendah,1,2,Minum suplemen asam folat 400 mcg tepat setelah sarapan pagi dengan segelas air putih.,Vitamin & Obat
1,Trimester 1,Risiko Rendah,1,3,Lakukan jalan santai pagi selama 15 menit di area terbuka berudara segar.,Aktivitas & Istirahat
1,Trimester 1,Risiko Rendah,1,4,Sikat gigi secara perlahan menggunakan sikat berbulu ekstra lembut untuk cegah gusi berdarah.,Higienitas & Self-Care
1,Trimester 1,Risiko Rendah,1,5,Simpan nomor kontak darurat dokter spesialis kandungan dan faskes terdekat di panggilan cepat ponsel.,Persiapan Praktis
1,Trimester 1,Risiko Rendah,2,1,Konsumsi camilan buah alpukat potong dan segelas jus jeruk segar tanpa gula tambahan.,Nutrisi & Hidrasi
1,Trimester 1,Risiko Rendah,2,2,Konsumsi tablet vitamin B6 25 mg sesuai anjuran untuk mencegah timbulnya rasa mual.,Vitamin & Obat
1,Trimester 1,Risiko Rendah,2,3,Latihan pernapasan diafragma perlahan selama 10 menit sambil duduk tegak di kursi empuk.,Aktivitas & Istirahat
1,Trimester 1,Risiko Rendah,2,4,Gunakan pakaian dalam berbahan katun 100% yang menyerap keringat dan tidak ketat.,Higienitas & Self-Care
1,Trimester 1,Risiko Rendah,2,5,"Buat satu map dokumen khusus untuk menyimpan hasil USG, buku KIA, dan kuitansi medis kehamilan.",Persiapan Praktis
1,Trimester 1,Risiko Rendah,3,1,"Penuhi target hidrasi 2,5 liter air putih terbagi rata dalam botol minum bertanda waktu.",Nutrisi & Hidrasi
1,Trimester 1,Risiko Rendah,3,2,Minum suplemen prenatal harian bersama makan siang.,Vitamin & Obat
1,Trimester 1,Risiko Rendah,3,3,"Peregangan ringan leher, bahu, dan pergelangan tangan untuk melemaskan otot kaku.",Aktivitas & Istirahat
1,Trimester 1,Risiko Rendah,3,4,Bersihkan area intim dari arah depan ke belakang menggunakan air bersih mengalir.,Higienitas & Self-Care
1,Trimester 1,Risiko Rendah,3,5,Susun daftar menu makan sehat mingguan ramah lambung bersama pasangan.,Persiapan Praktis
1,Trimester 1,Risiko Rendah,4,1,Santap makan siang porsi kecil dengan sumber protein hewani (daging sapi tanpa lemak/dada ayam matang).,Nutrisi & Hidrasi
1,Trimester 1,Risiko Rendah,4,2,Cek label kedaluwarsa dan pastikan persediaan suplemen asam folat mencukupi untuk 1 pekan.,Vitamin & Obat
1,Trimester 1,Risiko Rendah,4,3,Istirahat rebahan santai selama 20 menit di siang hari untuk memulihkan energi.,Aktivitas & Istirahat
1,Trimester 1,Risiko Rendah,4,4,Aplikasikan pelembap bibir alami (lip balm) dan pelembap wajah tanpa kandungan retinol.,Higienitas & Self-Care
1,Trimester 1,Risiko Rendah,4,5,Sortir produk pembersih rumah tangga dan hindari kontak langsung dengan bahan kimia keras.,Persiapan Praktis
1,Trimester 1,Risiko Rendah,5,1,Minum air perasan lemon hangat madu di sore hari untuk menyegarkan pencernaan.,Nutrisi & Hidrasi
1,Trimester 1,Risiko Rendah,5,2,Konsumsi vitamin folat rutin pada jam yang sama seperti hari kemarin.,Vitamin & Obat
1,Trimester 1,Risiko Rendah,5,3,Jalan kaki santai sore hari selama 15 menit bersama pasangan di permukaan rata.,Aktivitas & Istirahat
1,Trimester 1,Risiko Rendah,5,4,Ganti pakaian dalam minimal 2 kali sehari atau segera setelah terasa lembap.,Higienitas & Self-Care
1,Trimester 1,Risiko Rendah,5,5,Cari informasi mengenai faskes rujukan BPJS / asuransi kesehatan yang bekerja sama.,Persiapan Praktis
1,Trimester 1,Risiko Rendah,6,1,Konsumsi seporsi brokoli kukus dan ikan salmon panggang matang sempurna untuk makan malam.,Nutrisi & Hidrasi
1,Trimester 1,Risiko Rendah,6,2,Minum tablet kalsium atau vitamin D3 sesuai petunjuk dokter pada pagi hari.,Vitamin & Obat
1,Trimester 1,Risiko Rendah,6,3,Lakukan peregangan panggul ringan di atas matras senam dengan gerakan lembut.,Aktivitas & Istirahat
1,Trimester 1,Risiko Rendah,6,4,Mandi air suam-suam kuku dengan sabun mandi ber-pH seimbang tanpa pewangi tajam.,Higienitas & Self-Care
1,Trimester 1,Risiko Rendah,6,5,Diskusikan pembagian tugas membersihkan rumah tangga sehari-hari bersama pasangan.,Persiapan Praktis
1,Trimester 1,Risiko Rendah,7,1,Siapkan segelas susu UHT hangat sebelum tidur untuk mencukupi hidrasi malam.,Nutrisi & Hidrasi
1,Trimester 1,Risiko Rendah,7,2,Susun jadwal minum vitamin ke dalam kotak obat harian (pill box) untuk minggu depan.,Vitamin & Obat
1,Trimester 1,Risiko Rendah,7,3,Tidur malam lebih awal dengan target durasi tidur berkualitas minimal 8 jam.,Aktivitas & Istirahat
1,Trimester 1,Risiko Rendah,7,4,Oleskan losion pelembap hipoalergenik pada kulit tubuh sebelum tidur malam.,Higienitas & Self-Care
1,Trimester 1,Risiko Rendah,7,5,Catat agenda pemeriksaan kehamilan pertama di kalender digital ponsel.,Persiapan Praktis
1,Trimester 1,Risiko Sedang,1,1,Makan 2 keping biskuit gandum atau crackers di atas ranjang sebelum bangkit untuk meredakan morning sickness.,Nutrisi & Hidrasi
1,Trimester 1,Risiko Sedang,1,2,Minum obat anti-mual (piridoksin/doksilamin) 30 menit sebelum sarapan sesuai resep dokter.,Vitamin & Obat
1,Trimester 1,Risiko Sedang,1,3,Jalan perlahan di dalam rumah selama 10 menit dengan jeda duduk setiap 3 menit.,Aktivitas & Istirahat
1,Trimester 1,Risiko Sedang,1,4,Bilas mulut dengan larutan air garam hangat atau obat kumur non-alkohol setelah sarapan.,Higienitas & Self-Care
1,Trimester 1,Risiko Sedang,1,5,Letakkan nomor kontak darurat dokter kandungan di pintu kulkas dan ponsel keluarga.,Persiapan Praktis
1,Trimester 1,Risiko Sedang,2,1,Konsumsi sup kaldu ayam bening hangat dengan wortel dan tahu sutra porsi kecil tapi sering.,Nutrisi & Hidrasi
1,Trimester 1,Risiko Sedang,2,2,Konsumsi suplemen asam folat dosis anjuran dokter (800 mcg/1 mg) sesudah makan pagi.,Vitamin & Obat
1,Trimester 1,Risiko Sedang,2,3,Istirahat rebahan terjadwal selama 45 menit di siang hari dengan kaki sedikit ditinggikan.,Aktivitas & Istirahat
1,Trimester 1,Risiko Sedang,2,4,Gunakan pakaian longgar berbahan katun yang tidak menekan area pinggang dan perut.,Higienitas & Self-Care
1,Trimester 1,Risiko Sedang,2,5,Siapkan map berkas medis kehamilan yang mudah dijangkau di meja ruang tamu.,Persiapan Praktis
1,Trimester 1,Risiko Sedang,3,1,Minum air putih sedikit demi sedikit menggunakan sedotan dengan target 2 liter per hari.,Nutrisi & Hidrasi
1,Trimester 1,Risiko Sedang,3,2,Minum vitamin prenatal bersama makan siang dan hindari minum bersamaan dengan teh/kopi.,Vitamin & Obat
1,Trimester 1,Risiko Sedang,3,3,Latihan pernapasan relaksasi 10 menit sambil bersandar nyaman di sofa empuk.,Aktivitas & Istirahat
1,Trimester 1,Risiko Sedang,3,4,Mandi menggunakan kursi mandi khusus (shower chair) atau duduk santai agar tidak licin.,Higienitas & Self-Care
1,Trimester 1,Risiko Sedang,3,5,"Delegasikan pekerjaan rumah tangga yang berat (menyapu, mengepel, mencuci) kepada pasangan.",Persiapan Praktis
1,Trimester 1,Risiko Sedang,4,1,Santap bubur beras merah halus dengan suwiran ayam matang untuk makan siang yang mudah dicerna.,Nutrisi & Hidrasi
1,Trimester 1,Risiko Sedang,4,2,Catat waktu konsumsi suplemen harian pada kartu kontrol obat keluarga.,Vitamin & Obat
1,Trimester 1,Risiko Sedang,4,3,Hindari mengangkat beban lebih dari 2 kg dan minimalkan aktivitas naik-turun tangga.,Aktivitas & Istirahat
1,Trimester 1,Risiko Sedang,4,4,"Pastikan area lipatan tubuh (ketiak, selangkangan) kering sempurna setelah mandi.",Higienitas & Self-Care
1,Trimester 1,Risiko Sedang,4,5,Pasang keset anti-slip di kamar mandi dan singkirkan kabel yang melintang di lantai.,Persiapan Praktis
1,Trimester 1,Risiko Sedang,5,1,Minum sari jahe hangat encer non-asam untuk menenangkan lambung di sore hari.,Nutrisi & Hidrasi
1,Trimester 1,Risiko Sedang,5,2,Minum suplemen penguat folat tepat waktu sesuai jadwal alarm pengingat harian.,Vitamin & Obat
1,Trimester 1,Risiko Sedang,5,3,Duduk santai sambil memutar pergelangan kaki untuk melancarkan sirkulasi darah.,Aktivitas & Istirahat
